Issuer_id,AM_1_,AM_2_,AM_3_,AM_4_,AM_5_,AM_6_,PM_1_,PM_2_,PM_3_,PM_4_,PM_5_,PM_6_
925657,17,2024,665,25,75,1,0,56,20,0,2,0
346086,566,1207,83,56,244,0,25,229,30,3,35,0
934615,1,192,1346,5,27,0,0,1,23,0,0,0
359324,0,31,9,7,20,0,0,211,156,244,280,1
355607,260,213,50,265,432,0,39,276,77,372,465,0
359326,0,2,1,4,17,0,0,163,26,387,414,0
331794,30,101,8,81,143,0,24,411,35,404,627,0
357330,0,3,0,2,11,0,1,1255,485,54,351,0
358856,214,406,52,352,772,0,30,165,26,197,240,0
926112,0,352,707,0,33,1,0,27,28,0,1,0
331074,162,285,52,1,162,20,2,101,12,0,86,4
920567,141,115,450,1,25,0,3,259,892,3,9,0
901890,2,813,145,1,101,0,0,123,15,0,16,0
348553,0,0,0,0,0,0,1,271,75,123,526,0
345369,0,877,319,43,694,0,0,71,22,6,35,0
331261,0,965,82,0,960,0,0,52,5,0,41,0
359325,0,0,0,1,2,0,0,113,2,365,341,0
894955,0,233,346,0,4,0,0,180,283,0,5,0
906659,6,204,584,6,5,0,2,28,56,0,0,0
355685,239,482,193,225,443,0,77,403,176,179,314,0
355208,1,13,11,0,2,0,0,1323,293,194,285,0
355207,0,511,349,48,173,0,0,84,59,16,26,0
359330,0,1,0,0,1,0,0,153,64,277,389,7
357678,38,463,292,185,1014,1,1,88,75,68,175,0
932845,4,879,973,39,6,1,0,52,168,2,1,0
927373,2,147,845,1,10,0,0,35,34,0,1,0
330978,203,595,216,10,220,6,1,261,44,11,102,1
358525,222,206,57,292,468,0,43,220,50,325,354,0
355618,0,4,0,0,7,0,0,1314,189,363,559,203
355057,25,294,61,5,66,0,0,965,198,124,215,0
358896,0,2,0,7,4,0,0,308,17,756,632,0
358914,792,565,195,130,485,0,8,124,58,114,191,0
938339,49,139,33,3,24,0,62,256,101,10,39,0
355443,18,222,104,68,611,0,0,95,40,37,178,0
353431,588,790,95,109,477,0,14,130,28,37,57,0
355290,204,496,106,1,112,5,0,10,2,0,0,0
345513,9,568,243,169,758,0,0,109,36,46,105,0
922379,0,28,622,0,0,0,0,29,33,0,0,0
358878,0,5,0,7,7,0,0,827,172,434,719,0
330039,0,121,12,0,5,4,0,759,31,0,52,11
352995,24,687,200,83,494,0,0,67,7,15,48,0
352991,0,54,19,1,31,19,0,464,63,83,188,848
939874,90,186,346,11,32,0,2,77,221,3,7,0
351202,0,481,173,86,459,0,0,72,36,26,59,0
341891,0,490,175,73,759,0,0,46,6,11,25,0
940864,2,110,656,2,0,0,1,68,339,1,1,0
936299,59,420,934,8,113,0,0,19,71,0,0,0
352012,0,514,174,2,519,0,0,0,0,0,0,0
356498,151,765,98,94,641,0,8,202,86,38,124,0
358840,1,9,0,17,52,0,11,363,18,806,788,0
926560,0,9,9,0,0,0,4,312,152,3,7,1
355603,108,1017,129,207,1053,0,7,175,40,43,128,0
916949,2,411,1,3,112,0,0,22,19,0,3,0
926024,98,233,910,2,10,0,2,39,125,1,2,0
356310,6,648,312,100,603,1,0,120,56,57,138,0
355604,733,1154,19,61,231,2,14,96,32,26,35,0
355682,16,286,48,2,60,20,0,704,165,10,67,4
351933,0,22,8,1,19,0,0,1192,143,172,530,13
348515,434,829,83,203,589,0,25,73,5,10,25,0
357752,2,1,2,7,17,0,0,1077,126,616,788,0
357804,0,91,22,21,111,0,0,714,156,283,424,28
346357,284,1277,97,79,318,0,0,133,43,23,62,0
330551,136,355,2,0,26,0,0,1074,22,44,98,0
359294,0,0,0,0,0,0,0,157,14,323,319,0
895496,0,186,622,4,2,0,0,102,380,1,3,0
357801,17,588,241,225,1178,0,1,166,48,135,217,0
915560,0,52,1049,5,1,1,0,25,90,0,0,0
927487,0,205,189,1,3,0,2,211,128,1,0,0
358664,0,0,0,0,0,0,0,643,41,791,1050,0
356549,502,195,39,145,361,0,118,317,68,107,399,0
357367,25,175,74,70,278,0,0,609,136,255,548,1
350513,98,1311,36,47,205,0,1,103,4,10,23,0
331356,0,49,11,1,37,0,0,702,69,3,115,1
347594,0,201,49,11,162,0,0,553,164,30,273,3
942819,230,349,555,6,14,0,0,180,318,3,5,0
355678,4,150,129,28,375,0,0,50,32,24,83,0
345535,46,353,24,0,17,0,0,984,124,0,45,0
330957,0,2,0,2,6,0,0,698,134,179,474,0
346166,2,1081,437,132,907,0,0,119,26,21,58,0
346167,0,745,306,111,815,0,0,97,41,44,78,0
355316,174,234,41,35,176,0,14,110,7,83,103,0
341964,0,713,201,82,944,0,0,71,12,24,84,0
346204,66,1047,287,0,94,37,0,88,34,0,2,25
358928,191,192,51,216,280,0,60,235,66,286,308,0
349904,0,1066,254,79,655,0,0,102,25,12,39,0
356276,705,295,72,201,372,0,105,276,52,101,291,0
351262,8,266,73,199,314,0,2,677,99,221,381,0
346192,0,514,142,81,694,0,0,95,15,33,49,0
357377,0,705,423,128,901,0,0,138,59,33,125,0
358889,0,5,4,3,8,0,0,453,668,633,785,0
355418,1,450,243,77,1356,16,0,175,51,45,277,1
347679,0,588,196,1,725,0,0,1,0,0,0,0
347581,0,3,0,9,22,0,8,107,14,134,243,0
929025,0,6,2,0,1,0,1,425,243,5,2,0
354150,0,930,390,109,824,1,0,83,46,36,62,0
897937,211,401,335,7,68,0,2,39,67,1,2,0
341240,0,19,2,3,5,0,0,937,203,317,471,2
940460,0,102,235,0,0,0,0,66,313,0,0,0
350307,679,807,105,84,465,0,1,136,35,35,79,0
945266,4,207,704,2,3,0,5,114,390,0,0,0
932402,6,808,1247,35,6,0,1,125,199,3,0,0
330068,0,388,124,128,519,0,0,75,24,54,84,0
330069,0,377,286,62,847,0,0,67,71,23,165,0
927706,0,60,527,6,2,0,0,21,30,0,0,0
343930,442,399,44,59,305,0,13,87,29,23,42,0
345551,264,894,294,0,165,35,13,195,34,1,35,4
346045,215,387,315,164,359,0,2,13,19,10,9,0
345557,33,224,52,9,429,0,0,57,13,7,78,0
358647,9,7,2,9,6,0,0,731,248,723,850,0
351315,592,728,73,204,411,0,1,134,27,44,66,0
357345,0,612,135,0,482,0,0,0,0,0,0,0
347576,0,3,1,0,0,0,0,338,18,23,132,1
354048,0,32,2,0,5,0,0,787,113,120,180,18
358939,0,0,0,1,8,0,0,267,26,1181,858,0
355231,27,302,99,218,730,0,0,163,41,178,249,0
355135,545,253,124,29,247,0,184,406,254,28,253,0
911170,0,217,390,0,0,0,0,56,12,1,0,0
357355,0,535,181,87,536,0,0,0,0,0,0,0
330924,0,755,345,32,522,0,0,135,32,13,78,0
343455,36,615,130,41,396,43,3,200,16,11,100,0
907041,22,189,1359,2,168,1,0,16,118,0,18,0
357702,504,228,81,140,432,0,104,165,71,115,225,0
332944,25,669,72,1,245,28,2,295,36,3,94,12
356219,57,674,161,81,262,0,0,587,135,93,141,0
927636,1,447,891,4,5,0,1,96,164,1,0,0
358868,236,181,85,219,290,0,16,180,84,376,275,0
345388,2,453,197,57,638,0,0,41,28,23,47,0
356510,10,730,277,131,1162,1,0,195,63,47,198,0
358929,0,2,0,5,11,0,1,321,22,1048,1040,0
357716,0,0,0,0,0,0,0,2202,157,16,288,0
355226,27,577,303,155,944,0,0,54,38,62,86,0
357711,0,17,11,5,17,0,0,964,393,291,718,23
359316,16,102,90,47,164,0,2,124,48,152,179,10
346157,212,1039,38,124,418,0,0,122,13,41,65,0
921002,0,67,1010,0,0,0,0,18,16,0,0,0
927355,0,157,1141,4,3,0,0,35,36,1,0,0
357327,118,2084,54,38,184,0,10,64,13,7,22,0
358233,25,16,2,21,34,0,9,830,103,840,895,0
331829,0,304,51,5,132,0,0,793,100,59,218,0
330593,0,427,141,260,822,0,0,64,15,50,91,0
341171,174,1196,34,126,791,0,1,132,11,28,154,0
906258,282,630,219,2,55,0,4,329,189,0,27,0
903106,5,82,1251,2,258,0,0,6,236,0,10,0
355635,147,798,97,69,355,2,7,186,61,36,122,0
353512,0,9,1,6,21,0,11,548,238,701,1142,0
904597,0,1005,722,5,43,3,0,44,74,0,5,0
356507,251,463,111,169,440,0,23,292,81,148,287,0
355671,28,740,241,71,950,4,0,218,79,55,213,2
929923,24,926,425,37,42,0,0,44,13,0,0,0
356502,6,843,273,162,1100,8,1,190,62,47,232,0
