Issuer_id,AM_1_,AM_2_,AM_3_,AM_4_,AM_5_,AM_6_,AM_7_,AM_8_,AM_9_,AM_10_,AM_11_,AM_12_,AM_13_,AM_14_,AM_15_,AM_16_,AM_17_,AM_18_,AM_19_,AM_20_,AM_21_,AM_22_,AM_23_,AM_24_,AM_25_,AM_26_,AM_27_,AM_28_,AM_29_,AM_30_,AM_31_,AM_32_,AM_33_,AM_34_,AM_35_,AM_36_,AM_37_,AM_38_,AM_39_,AM_40_,AM_41_,AM_42_,AM_43_,AM_44_,AM_45_,AM_46_,AM_47_,AM_48_,AM_49_,AM_50_,AM_51_,AM_52_,AM_53_,AM_54_,AM_55_,AM_56_,AM_57_,AM_58_,AM_59_,AM_60_,AM_61_,AM_62_,AM_63_,AM_64_,AM_65_,AM_66_,AM_67_,AM_68_,AM_69_,AM_70_,AM_71_,AM_72_,AM_73_,AM_74_,AM_75_,AM_76_,AM_77_,AM_78_,AM_79_,AM_80_,AM_81_,AM_82_,AM_83_,AM_84_,AM_85_,AM_86_,AM_87_,AM_88_,AM_89_,AM_90_,AM_91_,AM_92_,AM_93_,AM_94_,AM_95_,AM_96_,AM_97_,AM_98_,AM_99_,PM_1_,PM_2_,PM_3_,PM_4_,PM_5_,PM_6_,PM_7_,PM_8_,PM_9_,PM_10_,PM_11_,PM_12_,PM_13_,PM_14_,PM_15_,PM_16_,PM_17_,PM_18_,PM_19_,PM_20_,PM_21_,PM_22_,PM_23_,PM_24_,PM_25_,PM_26_,PM_27_,PM_28_,PM_29_,PM_30_,PM_31_,PM_32_,PM_33_,PM_34_,PM_35_,PM_36_,PM_37_,PM_38_,PM_39_,PM_40_,PM_41_,PM_42_,PM_43_,PM_44_,PM_45_,PM_46_,PM_47_,PM_48_,PM_49_,PM_50_,PM_51_,PM_52_,PM_53_,PM_54_,PM_55_,PM_56_,PM_57_,PM_58_,PM_59_,PM_60_,PM_61_,PM_62_,PM_63_,PM_64_,PM_65_,PM_66_,PM_67_,PM_68_,PM_69_,PM_70_,PM_71_,PM_72_,PM_73_,PM_74_,PM_75_,PM_76_,PM_77_,PM_78_,PM_79_,PM_80_,PM_81_,PM_82_,PM_83_,PM_84_,PM_85_,PM_86_,PM_87_,PM_88_,PM_89_,PM_90_,PM_91_,PM_92_,PM_93_,PM_94_,PM_95_,PM_96_,PM_97_,PM_98_,PM_99_
355546,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,18,0,0,3,38,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,5,0,0,0,0,0,3,0,6,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,8,497,0,230,9,1,91,492,0,0,0,18,0,0,1,0,0,0,20,0,0,0,0,0,49,136,9,70,0,4,0,0,0,86,0,129,0,23,44,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,1,20,8,22,39,0,3,6,1,0,156,0,20,0,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355134,0,0,0,0,0,0,0,0,0,19,0,0,8,1409,0,160,35,7,155,372,1287,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,241,0,90,0,0,0,0,0,19,0,98,0,29,39,0,3,0,0,0,0,0,1,0,11,0,0,2,0,1,0,0,1,19,82,0,0,1,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,12,175,0,46,20,24,125,156,31,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,44,0,39,0,0,0,0,0,34,0,30,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,15,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353176,0,0,0,0,0,0,0,0,0,0,1,0,3,96,0,91,4,0,57,111,784,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,278,469,0,118,0,1,0,0,0,9,0,3,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,14,32,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,61,0,84,2,0,21,55,48,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,101,117,0,24,0,1,0,0,0,8,0,2,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,3,5,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
345238,0,0,0,0,0,0,0,0,0,39,1,0,5,291,0,122,82,31,127,233,935,0,0,18,0,0,0,0,0,0,21,0,0,0,0,0,11,168,0,13,0,5,0,0,0,3,434,68,0,2,0,0,53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,105,5,19,0,0,1,0,0,0,0,0,0,0,2,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,11,176,0,89,62,15,58,180,0,0,0,22,0,0,0,0,0,0,61,0,0,0,0,0,43,129,0,19,0,43,0,0,0,8,147,71,0,1,4,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,168,4,14,0,0,1,0,0,0,0,0,0,0,18,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357735,0,0,0,0,0,0,0,0,3,8,28,0,60,302,0,17,26,1,62,10,70,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,23,46,0,69,0,0,0,0,0,84,53,9,0,15,1,0,2,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,15,17,22,0,0,4,1,0,0,0,0,0,0,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,8,92,0,300,1075,0,37,76,0,151,26,12,0,0,0,0,0,0,0,0,0,966,0,0,0,0,0,55,99,0,113,0,32,0,0,0,351,75,44,0,19,12,0,3,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,81,42,74,0,1,9,2,0,0,0,0,0,0,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357068,0,0,0,0,0,0,0,0,0,14,0,0,2,138,0,45,29,0,58,116,864,0,0,204,0,1,0,0,0,0,0,0,0,0,0,0,16,161,0,746,0,0,0,0,0,182,0,41,0,85,15,0,38,0,0,0,0,0,0,139,17,0,0,0,0,15,6,1,0,44,97,8,7,13,3,0,1,0,0,0,0,102,2,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,4,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,10,0,0,0,0,0,17,0,1,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357736,0,0,0,0,0,0,0,0,0,0,0,0,2,63,0,15,1,0,35,45,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,89,0,78,0,0,0,0,0,50,0,6,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,14,20,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,527,0,55,20,1,185,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,1031,0,556,0,0,0,0,0,579,0,179,0,99,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,84,225,6,0,18,2,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355710,0,0,0,1,0,0,0,0,0,29,0,0,9,456,0,107,115,6,56,432,1272,0,0,253,0,0,0,0,0,0,43,0,0,0,0,0,51,197,0,121,0,23,1,0,0,104,0,73,0,31,14,0,57,0,0,0,0,0,0,0,4,0,0,0,0,0,0,23,71,57,206,0,0,10,4,0,1,0,1,0,0,43,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,82,0,19,17,4,11,74,52,0,0,14,0,0,1,0,0,0,7,0,0,0,0,0,45,78,0,32,0,8,0,0,0,29,0,6,0,4,7,0,13,0,0,0,0,0,0,3,1,0,0,0,0,0,0,9,25,20,42,0,0,5,1,0,0,0,0,0,0,11,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358892,0,0,0,0,0,0,0,0,0,6,1,0,12,99,0,1,8,0,6,6,15,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,14,41,0,17,0,11,0,0,0,8,30,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,104,4,16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,1,0,69,487,0,4,58,2,61,35,0,0,6,0,0,0,0,0,0,0,741,0,0,0,5,0,213,215,0,48,0,301,0,0,0,61,131,20,0,3,1,0,30,0,0,0,0,0,0,0,0,0,0,66,0,0,2,0,435,30,57,0,4,6,0,0,0,0,0,0,0,14,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352079,0,0,0,6,0,0,0,0,0,25,0,0,37,612,0,1097,178,1,131,268,971,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,4,170,3,96,0,2,0,0,1,102,0,97,0,29,27,0,58,0,0,0,0,0,0,0,0,0,0,0,0,46,6,1,55,28,96,0,0,17,14,0,0,0,2,0,0,21,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,46,63,0,42,7,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,3,24,0,0,0,0,0,1,0,3,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353070,0,0,0,0,0,0,0,0,0,6,1,0,9,243,0,26,2,20,32,6,224,0,0,3,0,0,0,0,0,0,19,0,0,0,0,0,50,101,0,29,0,6,0,0,0,22,37,22,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,27,5,24,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,14,1418,0,178,16,105,72,10,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,13,13,0,45,0,359,0,0,0,40,218,71,0,14,18,0,0,0,0,0,0,0,1,0,0,0,0,107,0,0,0,0,481,13,43,0,0,9,0,0,0,0,0,0,1,12,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355417,0,0,0,0,0,0,0,0,0,24,2,0,5,155,0,45,23,0,93,96,403,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,362,458,0,265,0,1,0,0,0,35,0,17,0,33,7,0,3,0,0,0,0,0,0,2,1,0,0,11,0,0,0,0,16,102,194,0,0,2,5,0,0,0,0,0,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,5,0,6,305,0,57,30,0,121,124,52,0,5,1,0,0,0,0,0,0,9,0,0,0,0,0,602,523,0,308,0,13,0,0,0,45,0,17,0,25,3,0,3,0,0,0,0,0,0,1,0,0,0,13,0,0,2,0,33,113,175,0,0,0,2,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
358623,0,0,0,0,0,0,0,0,0,1,1,0,33,131,0,4,26,0,35,29,22,0,5,0,0,0,0,0,0,0,45,0,0,0,1,0,3,35,0,20,0,13,0,0,0,28,50,14,0,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4,13,1,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,12,5,0,240,1072,0,77,125,1,160,67,1,0,4,0,0,0,0,0,0,0,1298,0,0,0,32,0,128,109,0,72,0,311,0,0,0,102,169,68,0,13,8,0,30,0,0,0,0,0,2,3,1,0,0,36,0,0,0,0,409,45,67,0,9,17,0,0,1,0,0,0,0,8,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
354125,0,0,0,0,0,0,0,0,0,4,0,0,3,31,0,120,5,6,25,49,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,376,0,75,0,1,0,0,0,18,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36,80,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,124,0,312,71,1,73,369,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,823,994,0,114,0,4,0,0,0,64,0,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,78,155,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355639,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,2,6,0,10,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,30,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,4,653,0,125,69,3,142,599,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,31,75,0,371,0,0,1,0,0,310,0,20,0,19,13,0,5,0,0,0,0,0,0,2,29,0,0,26,0,0,5,0,0,20,51,0,0,19,1,0,0,0,0,0,0,84,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
354043,0,0,0,0,0,0,0,0,0,5,0,0,0,174,0,128,2,12,30,29,781,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,626,550,0,32,0,0,0,0,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,31,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,65,0,57,1,0,15,54,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,688,584,0,37,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,33,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358936,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,10,278,0,54,4,0,85,131,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,889,1112,24,27,0,66,0,0,0,123,0,64,0,13,45,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,204,44,97,0,1,7,0,0,34,0,0,0,0,9,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341980,0,0,0,0,0,0,0,0,0,0,1,0,1,44,0,98,5,0,3,15,9,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,7,0,33,0,1,0,0,0,12,14,4,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,2,4,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,42,268,0,810,43,0,31,952,0,0,2,0,0,0,0,0,0,0,293,0,0,0,0,0,3,27,0,129,0,11,0,0,0,54,35,10,0,4,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34,12,28,0,0,19,0,0,0,0,0,0,0,17,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356181,0,0,0,0,0,0,0,2,5,28,1,0,135,1392,0,376,56,5,137,18,18,0,3,0,0,0,0,0,0,0,501,0,0,0,23,0,0,14,0,81,0,9,0,0,0,113,130,12,0,10,82,0,4,0,0,0,0,0,0,2,1,0,0,18,0,1,0,0,242,21,23,0,1,39,1,0,16,0,0,0,0,23,61,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,6,48,0,7,1,29,3,4,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1,0,2,0,4,0,0,0,2,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358863,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,18,399,0,200,91,0,24,698,0,0,4,0,0,0,0,0,0,0,316,0,0,0,15,0,413,405,0,90,0,140,0,0,0,87,0,6,0,31,24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,306,20,49,0,0,4,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356959,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,18,199,0,26,24,0,85,160,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,93,256,0,877,0,0,0,0,0,455,0,77,0,76,28,0,12,0,0,0,0,0,0,3,3,0,0,0,0,0,20,0,0,45,92,7,14,13,0,0,0,0,0,0,0,17,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
357700,0,0,0,0,0,0,0,1,3,0,1,0,14,102,0,5,9,1,17,5,0,0,9,0,0,0,0,0,0,0,55,0,0,0,1,0,1,6,0,18,0,0,0,0,0,34,20,1,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,9,12,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,57,2,8,0,137,790,0,111,46,0,134,52,0,0,8,0,0,0,0,0,0,0,1325,0,0,0,17,0,15,29,0,79,0,15,0,0,0,155,58,45,0,29,18,0,24,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,54,35,74,9,13,25,1,0,0,0,1,0,0,13,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357701,0,0,0,0,0,0,0,0,0,1,0,0,0,22,0,12,4,0,24,25,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,48,0,64,0,2,0,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,47,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,4,346,0,66,34,3,151,204,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1034,1322,0,250,0,6,0,0,0,43,0,53,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,24,99,176,0,0,6,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352950,0,0,0,0,0,0,0,0,1,2,0,0,5,119,0,35,3,0,20,9,10,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,17,0,4,0,0,0,0,0,17,39,1,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,20,2,1,0,0,3,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,99,2,10,0,49,1826,0,124,32,5,49,104,1,0,0,0,0,0,0,0,0,0,1005,0,0,0,18,0,0,3,2,8,0,11,0,1,1,128,120,13,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,83,0,0,0,0,177,13,7,0,0,5,0,0,0,0,0,0,0,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
355073,0,0,0,0,0,0,0,0,0,74,2,0,69,612,0,438,84,34,105,151,624,0,82,0,0,0,0,0,0,0,23,0,0,0,0,0,7,111,0,60,0,3,0,0,0,28,652,104,0,8,42,0,80,0,0,0,0,0,0,8,1,0,0,3,0,0,0,0,173,7,49,0,1,5,0,0,0,0,0,0,0,18,37,380,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,7,50,0,9,12,0,3,23,0,0,2,0,0,0,0,0,0,0,17,0,0,0,0,0,4,11,0,6,0,16,0,0,0,1,32,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,2,12,0,0,0,0,0,0,0,0,0,0,6,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358228,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,0,0,13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,54,213,0,37,15,0,143,112,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,74,400,0,736,0,0,0,0,0,783,0,106,0,69,27,0,17,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,39,61,6,5,6,0,0,1,0,0,0,0,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357783,0,0,0,0,0,0,0,0,0,13,5,0,8,140,0,12,108,0,35,16,226,0,0,0,0,0,0,0,0,0,70,0,0,0,5,0,39,274,0,106,0,48,0,0,0,24,204,12,0,8,1,0,31,0,0,0,0,0,2,0,0,2,0,5,0,0,0,0,399,9,28,0,0,8,2,0,0,0,0,0,0,4,15,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,2,0,48,465,0,30,79,27,69,46,0,0,1,0,0,0,0,0,0,0,497,0,0,0,110,0,309,350,0,133,0,463,0,0,0,63,292,93,0,13,2,0,44,0,0,0,0,0,0,2,0,4,0,28,0,0,0,0,832,31,76,0,0,11,3,0,0,0,0,0,0,12,34,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353069,0,0,0,0,0,0,0,0,0,1,0,0,1,43,0,1,2,0,25,14,253,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,292,589,0,32,0,0,0,0,0,19,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,36,56,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,2,247,0,32,11,69,64,53,40,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1050,778,18,92,0,5,0,0,0,69,0,13,0,24,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,77,133,0,0,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355642,0,0,0,0,0,0,0,0,0,1,0,0,6,93,0,0,32,0,12,4,18,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,21,58,0,0,0,108,0,0,0,0,126,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,520,2,14,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,263,0,10,59,1,49,29,0,0,2,1,0,0,0,0,0,0,63,0,0,0,0,0,385,484,0,0,0,660,0,0,0,0,306,11,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1034,4,68,0,0,11,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350407,0,0,0,0,0,0,0,80,0,71,0,0,22,1210,0,71,84,1,146,223,141,0,2,5,0,0,0,0,0,0,29,0,0,0,0,0,4,65,0,82,0,2,0,0,0,216,0,179,34,4,72,0,93,0,0,0,0,0,0,30,44,0,0,0,0,46,0,1,105,20,92,5,2,13,1,0,0,0,0,0,0,53,1,399,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,7,0,0,2,114,0,1,6,0,22,54,5,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,21,0,18,0,0,0,0,0,29,0,32,3,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,6,3,2,0,0,5,0,0,0,0,0,0,0,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
